id,name,artist,album,release_date,duration_ms,genres,popularity,explicit,description,Unnamed: 10,tagged_description
7292h5pidNaLfrse63T3dQ,Par Chanaa De (Coke Studio Season 9),"Shilpa Rao, Noori",Par Chanaa De (Coke Studio Season 9),2016-09-06,666000,"bollywood, desi, ghazal, hindi indie, hindi pop, indian indie, qawwali, sufi",53,False,"Soulful, dramatic fusion. Rich vocals and haunting melodies evoke longing and tradition. Not for dancing, but emotionally immersive.",,"7292h5pidNaLfrse63T3dQ Soulful, dramatic fusion. Rich vocals and haunting melodies evoke longing and tradition. Not for dancing, but emotionally immersive."
65DiZNHJiQpk6YxZvSxsqt,Lafz,Faris Shafi,Lafz,2021-09-13,253119,"desi, desi hip hop, hindi hip hop, punjabi hip hop",38,True,"Raw, poetic desi hip hop. Intense, introspective, and contemplative—invites thought more than movement.",,"65DiZNHJiQpk6YxZvSxsqt Raw, poetic desi hip hop. Intense, introspective, and contemplative—invites thought more than movement."
0U6cC3jgiLjbBo4vomr3HI,Molotov,Faris Shafi,Molotov,2021-02-13,152727,"desi, desi hip hop, hindi hip hop, punjabi hip hop",33,True,"Aggressive, cutting-edge hip hop. Defiant and bold, with a rebellious energy. Makes you want to nod your head, not dance.",,"0U6cC3jgiLjbBo4vomr3HI Aggressive, cutting-edge hip hop. Defiant and bold, with a rebellious energy. Makes you want to nod your head, not dance."
4SOlMjbKYAvLKaanovsWnA,Sammi Meri Waar,"Quratulain Balouch, Umair Jaswal",Coke Studio: Season 8,2015-08-16,392763,"desi, ghazal, hindi indie, qawwali, sufi",43,False,"Epic, passionate folk-rock. Powerful vocals and traditional rhythms inspire pride and nostalgia. Danceable in a folk circle way.",,"4SOlMjbKYAvLKaanovsWnA Epic, passionate folk-rock. Powerful vocals and traditional rhythms inspire pride and nostalgia. Danceable in a folk circle way."
0PcgcoIz4NEReFNqHf7o6p,Tumhain Dillagi Bhool Jani Paray Gi,Nusrat Fateh Ali Khan,Best Urdu Qawwalies,2018-08-09,982590,"ghazal, qawwali, sufi",39,False,"Majestic, devotional qawwali. Profound, emotional, and transcendent—perfect for spiritual reflection and deep listening.",,"0PcgcoIz4NEReFNqHf7o6p Majestic, devotional qawwali. Profound, emotional, and transcendent—perfect for spiritual reflection and deep listening."
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,808s & Heartbreak,2008-11-24,211000,rap,86,False,"Cold, moody electro-rap. Lonely and introspective, with a catchy beat. Danceable but best for late-night contemplation or break-up moods.",,"4EWCNWgDS8707fNSZ1oaA5 Cold, moody electro-rap. Lonely and introspective, with a catchy beat. Danceable but best for late-night contemplation or break-up moods."
7pXae9SvC8xw4EMmfMwRQB,Kahaani Puraani,Mooroo,Kahaani Puraani,2014-07-26,202631,"desi hip hop, hindi hip hop, hindi indie, indian indie",34,False,"Nostalgic, indie pop. Warm, melodic, and reflective—perfect for daydreaming about the past. Not for dancing.",,"7pXae9SvC8xw4EMmfMwRQB Nostalgic, indie pop. Warm, melodic, and reflective—perfect for daydreaming about the past. Not for dancing."
5Isdzs7S15eUIrFNS7XRZx,21 Guns,Green Day,21 Guns (DMD Maxi),2009,317360,"pop punk, punk",35,False,"Anthemic pop-punk/rock. Emotional, powerful, and uplifting—invites singing along and gentle head-banging.",,"5Isdzs7S15eUIrFNS7XRZx Anthemic pop-punk/rock. Emotional, powerful, and uplifting—invites singing along and gentle head-banging."
3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,1989,2014-01-01,220440,,76,False,"Dreamy, cinematic pop. Romantic, nostalgic, and bittersweet—evokes longing and fantasy. Great for slow dancing or pensive moods.",,"3fVnlF4pGqWI9flVENcT28 Dreamy, cinematic pop. Romantic, nostalgic, and bittersweet—evokes longing and fantasy. Great for slow dancing or pensive moods."
0TL0LFcwIBF5eX7arDIKxY,Husn,Anuv Jain,Husn,2023-12-01,217894,"hindi indie, hindi pop, indian indie",80,False,"Soulful, poetic indie pop. Intimate, gentle, and melancholic—ideal for quiet nights and heartfelt reflection.",,"0TL0LFcwIBF5eX7arDIKxY Soulful, poetic indie pop. Intimate, gentle, and melancholic—ideal for quiet nights and heartfelt reflection."
2B4lvZL0abyWIpDyDb2GsF,Aankhen Milaney Waaley,"Nazia Hassan, Zoheb Hassan",Young Tarang,1984-05-06,214003,"bollywood, desi, desi pop",42,False,"Retro, groovy pop. Playful, catchy, and light. Makes you want to sway and smile.",,"2B4lvZL0abyWIpDyDb2GsF Retro, groovy pop. Playful, catchy, and light. Makes you want to sway and smile."
0yvPEnB032fojLfVluFjUv,Sorry Not Sorry,Demi Lovato,Tell Me You Love Me,2017-09-29,203760,,75,True,"Bold, empowering pop anthem. Sassy, energetic, and confident—perfect for dancing and feeling invincible.",,"0yvPEnB032fojLfVluFjUv Bold, empowering pop anthem. Sassy, energetic, and confident—perfect for dancing and feeling invincible."
7B3z0ySL9Rr0XvZEAjWZzM,Sofia,Clairo,Immunity,2019-08-02,188386,bedroom pop,82,False,"Bedroom pop with a dreamy, queer romance. Sweet, vulnerable, and easy to vibe with. Great for gentle dancing or daydreaming.",,"7B3z0ySL9Rr0XvZEAjWZzM Bedroom pop with a dreamy, queer romance. Sweet, vulnerable, and easy to vibe with. Great for gentle dancing or daydreaming."
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,Something in the Orange,2022-04-22,228013,"country, red dirt",87,False,"Raw, heartfelt country/folk. Yearning, melancholic, and intimate. Not for dancing; best for late-night reflection or emotional catharsis.",,"3WMj8moIAXJhHsyLaqIIHI Raw, heartfelt country/folk. Yearning, melancholic, and intimate. Not for dancing; best for late-night reflection or emotional catharsis."
3Itz6Ki6IPtLDuKvqSbREv,Late in the Evening,New Rules,Late in the Evening,2022-11-11,213560,,31,False,"Upbeat, breezy pop. Fun, catchy, and light—makes you want to move and feel carefree.",,"3Itz6Ki6IPtLDuKvqSbREv Upbeat, breezy pop. Fun, catchy, and light—makes you want to move and feel carefree."
4XtdI2a4MiB6Yk6MPwlSR4,Parinda,Jal -The Band,Parinda,2017-05-05,261537,desi,36,False,"Melodic, uplifting rock. Hopeful and anthemic, it inspires perseverance and gentle swaying.",,"4XtdI2a4MiB6Yk6MPwlSR4 Melodic, uplifting rock. Hopeful and anthemic, it inspires perseverance and gentle swaying."
6ARQmeIRv4EVhEDypcmgfZ,Higher,Blanks,Higher,2019-08-09,189975,,42,False,"Energetic, electronic indie pop. Uplifting, danceable, and bright—perfect for getting pumped up.",,"6ARQmeIRv4EVhEDypcmgfZ Energetic, electronic indie pop. Uplifting, danceable, and bright—perfect for getting pumped up."
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,John Lennon,Imagine,1971-09-09,187866,christmas,79,False,"Peaceful, iconic soft rock. Hopeful, meditative, and deeply reflective. Not danceable—best for thinking about a better world.",,"7pKfPomDEeI4TPT6EOYjn9 Peaceful, iconic soft rock. Hopeful, meditative, and deeply reflective. Not danceable—best for thinking about a better world."
0suLngfo7rJoetk7Ub6N8l,Octopus's Garden - Remastered 2009,The Beatles,Abbey Road (Remastered),1969-09-26,170720,"classic rock, psychedelic rock",68,False,"Playful, whimsical classic rock. Light, happy, and nostalgic—invites gentle swaying and smiles.",,"0suLngfo7rJoetk7Ub6N8l Playful, whimsical classic rock. Light, happy, and nostalgic—invites gentle swaying and smiles."
5WTxM0co6lgX9qAwe9XW4h,Urr Jaoon,Strings,Thirty,2019-11-06,240426,"desi, desi pop, hindi indie, indian indie, sufi",34,False,"Uplifting, melodic pop/rock with South Asian influences. Hopeful and breezy—great for feeling free and inspired.",,"5WTxM0co6lgX9qAwe9XW4h Uplifting, melodic pop/rock with South Asian influences. Hopeful and breezy—great for feeling free and inspired."
3CJvmtWw2bJsudbAC5uCQk,Hands To Myself,Selena Gomez,Revival (Deluxe),2015-10-09,200680,,70,False,"Sleek, sensual pop. Flirtatious, catchy, and danceable—perfect for feeling confident and playful.",,"3CJvmtWw2bJsudbAC5uCQk Sleek, sensual pop. Flirtatious, catchy, and danceable—perfect for feeling confident and playful."
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,Kid Krow,2020-03-20,198040,,87,False,"Bittersweet, vulnerable indie pop. Heartfelt and melancholic—makes you want to introspect and maybe shed a tear.",,"4xqrdfXkTW4T0RauPLv3WA Bittersweet, vulnerable indie pop. Heartfelt and melancholic—makes you want to introspect and maybe shed a tear."
6hCRurmcJcOY7KUUDcBHrU,Tasveer,Mooroo,Tasveer,2021-12-08,326186,"desi hip hop, hindi hip hop, hindi indie, indian indie",36,False,"Reflective, melodic indie. Nostalgic, poetic, and gentle—invites quiet contemplation, not movement.",,"6hCRurmcJcOY7KUUDcBHrU Reflective, melodic indie. Nostalgic, poetic, and gentle—invites quiet contemplation, not movement."
1ZGLauVoD74BU8y8O5btcO,Zakir,NAALAYAK,Hindi Gaane,2021-10-29,221666,"hindi indie, indian indie",56,False,"Raw, energetic indie rock. Honest, punchy, and slightly angsty. Makes you want to nod along and reflect.",,"1ZGLauVoD74BU8y8O5btcO Raw, energetic indie rock. Honest, punchy, and slightly angsty. Makes you want to nod along and reflect."
5qHYXcVvc9xsFB2uH7GpMN,Kokomo,The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer,2003-01-01,217692,baroque pop,74,False,"Sunny, tropical pop classic. Carefree, breezy, and nostalgic—makes you want to relax on a beach and sway to island rhythms.",,"5qHYXcVvc9xsFB2uH7GpMN Sunny, tropical pop classic. Carefree, breezy, and nostalgic—makes you want to relax on a beach and sway to island rhythms."
3F5JqLkACRtvukabEdKe3k,Spit On A Stranger,Pavement,Terror Twilight,1999,184293,"alternative rock, indie",0,False,"Laid-back, quirky indie rock. Melancholic yet playful; perfect for introspective chilling or a lazy afternoon. Not overtly danceable, more for slow head-bobbing.",,"3F5JqLkACRtvukabEdKe3k Laid-back, quirky indie rock. Melancholic yet playful; perfect for introspective chilling or a lazy afternoon. Not overtly danceable, more for slow head-bobbing."
1DQrPZrUcoHteMEt69XTeW,Rewind,Goldspot,Tally Of The Yes Men,2005,215266,,39,False,"Warm, melodic indie pop. Nostalgic and dreamy, it tugs at memories and gentle regrets. More for reflection than dancing.",,"1DQrPZrUcoHteMEt69XTeW Warm, melodic indie pop. Nostalgic and dreamy, it tugs at memories and gentle regrets. More for reflection than dancing."
5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,Petals to Thorns,2023-05-26,242484,,89,False,"Moody, atmospheric pop. Yearning, intimate, and vulnerable—invites late-night listening and emotional introspection.",,"5LrN7yUQAzvthd4QujgPFr Moody, atmospheric pop. Yearning, intimate, and vulnerable—invites late-night listening and emotional introspection."
5rfT032kGmLvbxZzfHlu5D,In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,1998-02-20,202346,"anti-folk, folk punk",67,False,"Eccentric, heartfelt indie folk. Whimsical, bittersweet, and deeply moving—makes you want to think, dream, and maybe cry.",,"5rfT032kGmLvbxZzfHlu5D Eccentric, heartfelt indie folk. Whimsical, bittersweet, and deeply moving—makes you want to think, dream, and maybe cry."
7uWFUpGuEfmxYeymkV95jn,Time in a Bottle,Jim Croce,You Don't Mess Around With Jim,1972-04-01,148586,"folk rock, singer-songwriter",75,False,"Gentle, timeless folk ballad. Reflective, nostalgic, and romantic—perfect for slow dances or quiet contemplation.",,"7uWFUpGuEfmxYeymkV95jn Gentle, timeless folk ballad. Reflective, nostalgic, and romantic—perfect for slow dances or quiet contemplation."
7IAx9OvToHkT8C4ZlX9hwe,Will Anybody Ever Love Me?,Sufjan Stevens,Javelin,2023-10-06,249259,baroque pop,52,False,"Tender, melancholic indie folk. Vulnerable and searching, it’s a deeply emotional listen—invites introspection, not dancing.",,"7IAx9OvToHkT8C4ZlX9hwe Tender, melancholic indie folk. Vulnerable and searching, it’s a deeply emotional listen—invites introspection, not dancing."
0ImHLPj7ilfn4dHBFLDone,Any Time Of Day,The Lemon Twigs,Everything Harmony,2023-05-05,171280,"baroque pop, power pop",40,False,"Retro-inspired baroque pop. Upbeat, quirky, and melodic; feels whimsical and energizing. Lightly danceable, great for bright moods.",,"0ImHLPj7ilfn4dHBFLDone Retro-inspired baroque pop. Upbeat, quirky, and melodic; feels whimsical and energizing. Lightly danceable, great for bright moods."
4vBpEoRBnyjcLTqgKCppwo,Boom Boom,Nazia Hassan,Star (Original Motion Picture Soundtrack),1982-12-01,318053,"bollywood, desi",38,False,"Vintage disco-pop. Playful, catchy, and fun—makes you want to dance and feel nostalgic for retro parties.",,"4vBpEoRBnyjcLTqgKCppwo Vintage disco-pop. Playful, catchy, and fun—makes you want to dance and feel nostalgic for retro parties."
6DGzLNiawTtntC9NHzeMeY,بنی آدم,Coldplay,Everyday Life,2019-11-22,194666,,45,False,"Atmospheric, haunting alternative. Poetic, contemplative, and world-influenced. Not for dancing—best for deep thought and emotional immersion.",,"6DGzLNiawTtntC9NHzeMeY Atmospheric, haunting alternative. Poetic, contemplative, and world-influenced. Not for dancing—best for deep thought and emotional immersion."
63PbZwickD5dgkGxMWhvzi,Tiebreaker,The Head And The Heart,Every Shade of Blue,2022-04-29,239466,"folk, folk pop, indie folk",49,False,"Uplifting indie folk/pop. Hopeful, energetic, and melodic—invites gentle swaying and a sense of optimism.",,"63PbZwickD5dgkGxMWhvzi Uplifting indie folk/pop. Hopeful, energetic, and melodic—invites gentle swaying and a sense of optimism."
1CPhllOfBgOtTTDe05tSEw,Tu Kahaan - 1 Min Music,"OAFF, Lothika",Tu Kahaan (1 Min Music),2022-06-21,60000,"bollywood, desi, desi pop, hindi indie, hindi pop, indian indie",42,False,"Dreamy, cinematic indie pop. Brief yet evocative; feels like a fleeting, romantic memory. Not danceable, but emotionally stirring.",,"1CPhllOfBgOtTTDe05tSEw Dreamy, cinematic indie pop. Brief yet evocative; feels like a fleeting, romantic memory. Not danceable, but emotionally stirring."
1zU0kAJdEPyRs4x5gkQQER,Up The Junction,Squeeze,Cool For Cats,1979-01-01,191320,"new wave, power pop",59,False,"Story-driven new wave/pop. Nostalgic, bittersweet, and conversational—more for storytelling and reflection than dancing.",,"1zU0kAJdEPyRs4x5gkQQER Story-driven new wave/pop. Nostalgic, bittersweet, and conversational—more for storytelling and reflection than dancing."
3F3roWqJPMtmLbPPl93bbR,i can't help it,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,177886,,56,False,"Modern pop with a sweet, dreamy feel. Light, heartfelt, and catchy; makes you want to chill and smile.",,"3F3roWqJPMtmLbPPl93bbR Modern pop with a sweet, dreamy feel. Light, heartfelt, and catchy; makes you want to chill and smile."
5cceQYu8V7ZdFkMvdH6qPK,wonder if she loves me,JVKE,this is what ____ feels like (Vol. 1-4),2022-09-23,160676,,55,False,"Introspective, soft pop. Vulnerable, gentle, and a bit melancholic—ideal for quiet moments or solo reflection.",,"5cceQYu8V7ZdFkMvdH6qPK Introspective, soft pop. Vulnerable, gentle, and a bit melancholic—ideal for quiet moments or solo reflection."
1v6CmIvbcquM8rKR33Kc6e,Life Could Be A Dream,Street Corner Renaissance,Life Could Be A Dream,2011-12-12,136829,,55,False,"Classic doo-wop acapella. Nostalgic, warm, and soothing—great for chilling or basking in vintage vibes.",,"1v6CmIvbcquM8rKR33Kc6e Classic doo-wop acapella. Nostalgic, warm, and soothing—great for chilling or basking in vintage vibes."
5gB2IrxOCX2j9bMnHKP38i,Life is a Highway,Rascal Flatts,Cars (Original Motion Picture Soundtrack),2006-01-01,275640,country,77,False,"Energetic, country-rock anthem. Uplifting, fun, and road trip-ready—makes you want to sing, drive, and feel free.",,"5gB2IrxOCX2j9bMnHKP38i Energetic, country-rock anthem. Uplifting, fun, and road trip-ready—makes you want to sing, drive, and feel free."
4lzOb7A0xfdcYtV7YVr4Aa,Found a Way,Drake Bell,Telegraph,2005-11-07,181640,,54,False,"Upbeat, catchy pop-rock. Nostalgic and lighthearted; great for feel-good moments and reminiscent of childhood TV.",,"4lzOb7A0xfdcYtV7YVr4Aa Upbeat, catchy pop-rock. Nostalgic and lighthearted; great for feel-good moments and reminiscent of childhood TV."
0uxDHazXSSu9bSZ28LsnAN,Tough Love,"Avicii, Agnes, Vargas & Lagola",Tough Love (feat. Vargas & Lagola),2019-05-09,191248,"edm, swedish pop",42,False,"Lively, melodic EDM. Euphoric, romantic, and catchy—makes you want to dance and celebrate love’s complexity.",,"0uxDHazXSSu9bSZ28LsnAN Lively, melodic EDM. Euphoric, romantic, and catchy—makes you want to dance and celebrate love’s complexity."
78bsqObGFUD5ntweePBhIY,Van Horn,Saint Motel,The Original Motion Picture Soundtrack,2021-06-25,161120,,57,False,"Funky, quirky indie pop/rock. Playful, energetic, and danceable—perfect for lifting your mood and moving around.",,"78bsqObGFUD5ntweePBhIY Funky, quirky indie pop/rock. Playful, energetic, and danceable—perfect for lifting your mood and moving around."
4yNk9iz9WVJikRFle3XEvn,golden hour,JVKE,this is what falling in love feels like (554Hz),2022-10-03,209259,,78,False,"Dreamy, lush pop. Romantic, cinematic, and uplifting—makes you want to bask in the sunlight, sway, and feel in love.",,"4yNk9iz9WVJikRFle3XEvn Dreamy, lush pop. Romantic, cinematic, and uplifting—makes you want to bask in the sunlight, sway, and feel in love."
5L95vS64rG1YMIFm1hLjyZ,Rollercoaster,Bleachers,Strange Desire,2014-07-14,188866,,68,False,"Exuberant indie pop/rock. Nostalgic, energetic, and anthemic—great for singing along and letting loose.",,"5L95vS64rG1YMIFm1hLjyZ Exuberant indie pop/rock. Nostalgic, energetic, and anthemic—great for singing along and letting loose."
29ftVo3C2fq2phOEjJkTYm,girl in blue,Animal Sun,girl in blue,2019-06-20,209142,,53,False,"Atmospheric indie pop/rock. Melancholic, dreamy, and a bit mysterious—best for gentle swaying and introspective moods.",,"29ftVo3C2fq2phOEjJkTYm Atmospheric indie pop/rock. Melancholic, dreamy, and a bit mysterious—best for gentle swaying and introspective moods."
0ERL0VyBfQly3GRTdMAMr1,All I’ve Built,Holden Miller,All I’ve Built,2022-06-24,188266,,42,False,"Poignant, mellow singer-songwriter pop. Honest and reflective—invites quiet thought, not dancing.",,"0ERL0VyBfQly3GRTdMAMr1 Poignant, mellow singer-songwriter pop. Honest and reflective—invites quiet thought, not dancing."
1tQtURCQmQnY5ZxJNTgXKR,Chateau,Angus & Julia Stone,Snow,2017-09-15,273560,,62,False,"Ethereal, indie folk-pop. Romantic, lush, and intimate—perfect for dreamy, slow dancing or quiet evenings.",,"1tQtURCQmQnY5ZxJNTgXKR Ethereal, indie folk-pop. Romantic, lush, and intimate—perfect for dreamy, slow dancing or quiet evenings."
0KZodeWxqxd88F9wY1cqgs,My Sweet Lord (2014 Remaster),George Harrison,All Things Must Pass (2014 Remaster),1970-11-20,281231,,80,False,"Spiritual, uplifting classic rock. Warm, transcendent, and soothing—invites peace, reflection, and gentle sway.",,"0KZodeWxqxd88F9wY1cqgs Spiritual, uplifting classic rock. Warm, transcendent, and soothing—invites peace, reflection, and gentle sway."
1GeZyClc75ssdbDqJVwTIp,Heart,Animal Sun,"Life Among Machines, Pt. 2",2023-11-30,227345,,14,False,"Energetic indie rock. Passionate, driving, and slightly melancholic—makes you want to move and feel deeply.",,"1GeZyClc75ssdbDqJVwTIp Energetic indie rock. Passionate, driving, and slightly melancholic—makes you want to move and feel deeply."
4Tkb7zsDmsawB7S5TpKQV1,Pehli Dafa,"Atif Aslam, Shiraz Uppal",Pehli Dafa,2017-01-06,298771,"bollywood, desi, hindi pop, qawwali, sufi",78,False,"Romantic, soulful Bollywood ballad. Yearning and heartfelt—best for slow dancing and sentimental moods.",,"4Tkb7zsDmsawB7S5TpKQV1 Romantic, soulful Bollywood ballad. Yearning and heartfelt—best for slow dancing and sentimental moods."
1XGmzt0PVuFgQYYnV2It7A,Payphone,"Maroon 5, Wiz Khalifa",Overexposed Track By Track,2012-01-01,231173,"pop, rap",87,True,"Upbeat, catchy pop. Melancholic yet energetic—makes you want to sing along and maybe dance away heartbreak.",,"1XGmzt0PVuFgQYYnV2It7A Upbeat, catchy pop. Melancholic yet energetic—makes you want to sing along and maybe dance away heartbreak."
41am2k3H1sH84bPBLvVgP1,Heroes 2.0,RJ Pasin,Heroes,2023-11-24,149142,phonk,0,False,"Moody, atmospheric phonk/hip hop. Dark, energetic, and a little mysterious—good for feeling tough and introspective.",,"41am2k3H1sH84bPBLvVgP1 Moody, atmospheric phonk/hip hop. Dark, energetic, and a little mysterious—good for feeling tough and introspective."
2gVuB5FLzYU46N3CPmBRyN,Khwaab,Kashmir,Khwaab,2020-03-09,327499,"desi, hindi indie, indian indie",41,False,"Dreamy, poetic indie rock. Melancholic and thoughtful—invites gentle swaying and introspection.",,"2gVuB5FLzYU46N3CPmBRyN Dreamy, poetic indie rock. Melancholic and thoughtful—invites gentle swaying and introspection."
2aEuA8PSqLa17Y4hKPj5rr,Cheri Cheri Lady,Modern Talking,Let's Talk About Love,1985,226333,"eurodance, europop, italo disco",82,False,"Retro, synth-driven Europop. Romantic, catchy, and danceable—evokes nostalgic 80s dance floors.",,"2aEuA8PSqLa17Y4hKPj5rr Retro, synth-driven Europop. Romantic, catchy, and danceable—evokes nostalgic 80s dance floors."
4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,Meteora,2003-03-25,162106,"alternative metal, nu metal, rap metal, rock",86,False,"Intense, high-energy nu-metal. Angsty, urgent, and cathartic—perfect for headbanging and releasing frustration.",,"4Yf5bqU3NK4kNOypcrLYwU Intense, high-energy nu-metal. Angsty, urgent, and cathartic—perfect for headbanging and releasing frustration."
6ivemTXTn27PwVjtd0oqDs,Gul,Anuv Jain,Gul,2021-07-16,217250,"hindi indie, hindi pop, indian indie",72,False,"Gentle, heartfelt indie pop. Poetic, melancholic, and soothing—best for quiet reflection and emotional comfort.",,"6ivemTXTn27PwVjtd0oqDs Gentle, heartfelt indie pop. Poetic, melancholic, and soothing—best for quiet reflection and emotional comfort."
5m2MS952ftWD4N7Idcyh7c,"Tu Hi Hai (Ali Zafar Version) [From ""Dear Zindagi""]","Amit Trivedi, Ali Zafar","Tu Hi Hai (Ali Zafar Version) [From ""Dear Zindagi""]",2016-11-15,201299,"bollywood, desi, desi pop, ghazal, gujarati garba, gujarati pop, hindi pop, qawwali, sufi",46,False,"Sweet, melodic Bollywood pop. Romantic, uplifting, and catchy—makes you want to smile and sway.",,"5m2MS952ftWD4N7Idcyh7c Sweet, melodic Bollywood pop. Romantic, uplifting, and catchy—makes you want to smile and sway."
7G0U0OIkDTJjheL0gTt2gj,Najanay Kyun / Bichra Yaar,Strings,Najanay Kyun / Bichra Yaar,2018-08-01,482247,"desi, desi pop, hindi indie, indian indie, sufi",24,False,"Melodic, nostalgic desi pop/rock. Emotional and reflective—invites contemplation, not dancing.",,"7G0U0OIkDTJjheL0gTt2gj Melodic, nostalgic desi pop/rock. Emotional and reflective—invites contemplation, not dancing."
0cUdmruT6kjxa5KpteSdwc,Nahin Milta,Bayaan,4 Saal,2019-02-01,285656,"desi, hindi indie, indian indie",75,False,"Poignant, melancholic indie. Soulful and longing—great for introspective listening, not for dancing.",,"0cUdmruT6kjxa5KpteSdwc Poignant, melancholic indie. Soulful and longing—great for introspective listening, not for dancing."
1mXuMM6zjPgjL4asbBsgnt,Firework,Katy Perry,Teenage Dream,2010-08-24,227893,pop,72,False,"Empowering, uplifting pop anthem. Energetic, optimistic, and highly danceable—perfect for feeling inspired and letting go.",,"1mXuMM6zjPgjL4asbBsgnt Empowering, uplifting pop anthem. Energetic, optimistic, and highly danceable—perfect for feeling inspired and letting go."
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,1994-10-28,241106,christmas,70,False,"Festive, joyful pop classic. Cheerful, romantic, and perfect for dancing and celebrating the holidays.",,"0bYg9bo50gSsH3LtXe2SQn Festive, joyful pop classic. Cheerful, romantic, and perfect for dancing and celebrating the holidays."
2BHj31ufdEqVK5CkYDp9mA,Mayonaka no Door / Stay With Me,Miki Matsubara,Miki Matsubara Best Collection,2008,312293,"city pop, j-pop",78,False,"Dreamy, nostalgic city pop. Uplifting, catchy, and smooth—makes you want to dance and feel retro vibes.",,"2BHj31ufdEqVK5CkYDp9mA Dreamy, nostalgic city pop. Uplifting, catchy, and smooth—makes you want to dance and feel retro vibes."
4hpGHoJuJTtAqq9pkevLp6,Heaven,Calum Scott,Heaven,2022-04-29,194141,soft pop,53,False,"Tender, emotional pop ballad. Uplifting, heartfelt, and romantic—great for slow dancing and feeling deeply loved.",,"4hpGHoJuJTtAqq9pkevLp6 Tender, emotional pop ballad. Uplifting, heartfelt, and romantic—great for slow dancing and feeling deeply loved."
5m5TRf7ggoguXtcXQGprN4,Written in the Stars (feat. Eric Turner),"Tinie Tempah, Eric Turner",Written in the Stars (feat. Eric Turner),2010-09-03,207653,grime,60,False,"Epic, anthemic pop/rap. Inspiring, energetic, and catchy—makes you want to chase dreams and dance.",,"5m5TRf7ggoguXtcXQGprN4 Epic, anthemic pop/rap. Inspiring, energetic, and catchy—makes you want to chase dreams and dance."
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,1989 (Deluxe),2014-01-01,219200,,82,False,"Fun, carefree pop. Upbeat, sassy, and danceable—perfect for letting go, dancing, and shaking off negativity.",,"0cqRj7pUJDkTCEsJkx8snD Fun, carefree pop. Upbeat, sassy, and danceable—perfect for letting go, dancing, and shaking off negativity."
6q4GmJDbiZ7viOqLHP76cs,Rang Jo Lagyo,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-07-19,296160,"bollywood, desi, gujarati garba, gujarati pop, hindi pop, kannada pop, marathi pop, qawwali, sufi",65,False,"Romantic, melodic Bollywood fusion. Dreamy, sentimental, and soothing—ideal for reflection and gentle swaying.",,"6q4GmJDbiZ7viOqLHP76cs Romantic, melodic Bollywood fusion. Dreamy, sentimental, and soothing—ideal for reflection and gentle swaying."
4g6OnALPfPGS0JYDTvNEiE,Doorie,Atif Aslam,Doorie,2006-12-22,290998,"bollywood, desi, hindi pop, qawwali, sufi",52,False,"Melancholic, soulful pop/rock. Nostalgic, emotional—best for late-night introspection, not dancing.",,"4g6OnALPfPGS0JYDTvNEiE Melancholic, soulful pop/rock. Nostalgic, emotional—best for late-night introspection, not dancing."
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,2000-07-10,266773,,93,False,"Warm, uplifting alt-rock. Dreamy, romantic, and anthemic—invites gentle swaying and heartfelt singalongs.",,"3AJwUDP919kvQ9QcozQPxg Warm, uplifting alt-rock. Dreamy, romantic, and anthemic—invites gentle swaying and heartfelt singalongs."
0OFknyqxmSQ42SoKxWVTok,Un Poco Loco,"Anthony Gonzalez, Gael Garcia Bernal",Coco (Original Motion Picture Soundtrack),2017-11-10,112205,,69,False,"Playful, festive Latin pop. Energetic, colorful, and danceable—perfect for celebrations and feeling alive.",,"0OFknyqxmSQ42SoKxWVTok Playful, festive Latin pop. Energetic, colorful, and danceable—perfect for celebrations and feeling alive."
17opN752ZQpNuoptelsNQ1,Pehli Nazar Mein,"Atif Aslam, Pritam",Race (Original Motion Picture Soundtrack),2008-03-21,312892,"bollywood, desi, hindi pop, qawwali, sufi",70,False,"Romantic, heartfelt Bollywood ballad. Tender, melodic, and emotional—great for slow dancing and feeling in love.",,"17opN752ZQpNuoptelsNQ1 Romantic, heartfelt Bollywood ballad. Tender, melodic, and emotional—great for slow dancing and feeling in love."
